user_id,topic1_id,topic2_id,topic3_id,topic4_id,select_time,select_status
20182319,2022xj034,2022xj035,2022xj022,2022xj038,2021/11/16,2
20182320,2022xj025,2022xj064,2022xj024,2022xj001,2021/11/12,1
20182321,2022xj007,2022xj005,2022xj037,2022xj006,2021/11/11,1
20182321,2022xj042,2022xj076,2022xj001,2022xj075,2021/11/16,2
20182322,2022xj043,2022xj006,2022xj049,2022xj032,2021/11/11,1
20182324,2022xj032,2022xj027,2022xj043,2022xj033,2021/11/12,1
20182325,2022xj061,2022xj038,2022xj001,2022xj044,2021/11/12,1
20182326,2022xj027,2022xj017,2022xj057,2022xj065,2021/11/12,1
20182327,2022xj007,2022xj005,2022xj006,2022xj041,2021/11/11,1
20182327,2022xj009,2022xj023,2022xj042,2022xj001,2021/11/16,2
20182328,2022xj004,2022xj059,2022xj045,2022xj003,2021/11/12,1
20182330,2022xj036,2022xj037,2022xj007,2022xj043,2021/11/11,1
20182330,2022xj076,2022xj075,2022xj001,2022xj068,2021/11/16,2
20182331,2022xj008,2022xj006,2022xj032,2022xj043,2021/11/11,1
20182331,2022xj055,2022xj012,2022xj047,2022xj060,2021/11/17,2
20182332,2022xj044,2022xj043,2022xj015,2022xj051,2021/11/11,1
20182334,2022xj004,2022xj015,2022xj040,2022xj051,2021/11/12,1
20182335,2022xj058,2022xj059,2022xj037,2022xj032,2021/11/11,1
20182336,2022xj064,2022xj061,2022xj043,2022xj006,2021/11/11,1
20182336,2022xj060,2022xj038,2022xj047,2022xj009,2021/11/16,2
20182337,2022xj049,2022xj004,2022xj043,2022xj077,2021/11/12,1
20182338,2022xj067,2022xj066,2022xj043,2022xj044,2021/11/11,1
20182338,2022xj035,2022xj034,2022xj047,2022xj053,2021/11/16,2
20182339,2022xj067,2022xj066,2022xj059,2022xj033,2021/11/11,1
20182340,2022xj066,2022xj067,2022xj027,2022xj032,2021/11/11,1
20182340,2022xj063,2022xj016,2022xj069,2022xj022,2021/11/17,2
20182341,2022xj066,2022xj067,2022xj044,2022xj043,2021/11/11,1
20182341,2022xj034,2022xj023,2022xj016,2022xj001,2021/11/17,2
20182343,2022xj004,2022xj043,2022xj028,2022xj037,2021/11/12,1
20182344,2022xj027,2022xj019,2022xj001,2022xj018,2021/11/12,1
20182345,2022xj014,2022xj036,2022xj037,2022xj056,2021/11/11,1
20182345,2022xj055,2022xj035,2022xj076,2022xj075,2021/11/16,2
20182346,2022xj044,2022xj032,2022xj028,2022xj065,2021/11/11,1
20182347,2022xj064,2022xj039,2022xj058,2022xj060,2021/11/12,1
20182348,2022xj002,2022xj043,2022xj006,2022xj007,2021/11/11,1
20182351,2022xj005,2022xj006,2022xj032,2022xj054,2021/11/11,1
20182351,2022xj016,2022xj051,2022xj009,2022xj055,2021/11/16,2
20182353,2022xj052,2022xj004,2022xj074,2022xj043,2021/11/11,1
20182354,2022xj046,2022xj047,2022xj064,2022xj024,2021/11/11,1
20182355,2022xj005,2022xj049,2022xj019,2022xj077,2021/11/11,1
20182355,2022xj038,2022xj075,2022xj047,2022xj012,2021/11/16,2
20182356,2022xj007,2022xj005,2022xj064,2022xj001,2021/11/11,1
20182357,2022xj059,2022xj038,2022xj001,2022xj019,2021/11/12,1
20182358,2022xj036,2022xj006,2022xj005,2022xj007,2021/11/11,1
20182359,2022xj011,2022xj004,2022xj006,2022xj055,2021/11/12,1
20182360,2022xj049,2022xj007,2022xj024,2022xj032,2021/11/12,1
20182361,2022wl011,2022wl023,2022wl004,2022wl033,2021/11/12,1
20182362,2022wl052,2022wl053,2022wl054,2022wl046,2021/11/11,1
20182363,2022wl025,2022wl031,2022wl005,2022wl003,2021/11/11,1
20182364,2022wl038,2022wl008,2022wl041,2022wl059,2021/11/11,1
20182365,2022wl002,2022wl048,2022wl049,2022wl011,2021/11/11,1
20182367,2022wl039,2022wl022,2022wl040,2022wl034,2021/11/11,1
20182368,2022wl040,2022wl054,2022wl010,2022wl023,2021/11/11,1
20182368,2022wl057,2022wl044,2022wl037,2022wl043,2021/11/16,2
20182369,2022wl039,2022wl008,2022wl040,2022wl053,2021/11/11,1
20182371,2022wl037,2022wl032,2022wl007,2022wl035,2021/11/16,2
20182372,2022wl039,2022wl040,2022wl022,2022wl061,2021/11/12,1
20182373,2022wl053,2022wl023,2022wl061,2022wl054,2021/11/12,1
20182374,2022wl040,2022wl041,2022wl045,2022wl003,2021/11/12,1
20182375,2022wl026,2022wl032,2022wl008,2022wl003,2021/11/12,1
20182377,2022wl023,2022wl039,2022wl022,2022wl040,2021/11/11,1
20182377,2022wl012,2022wl007,2022wl045,2022wl024,2021/11/16,2
20182378,2022wl010,2022wl042,2022wl043,2022wl009,2021/11/11,1
20182379,2022wl005,2022wl003,2022wl004,2022wl001,2021/11/11,1
20182379,2022wl035,2022wl018,2022wl045,2022wl057,2021/11/16,2
20182380,2022wl008,2022wl023,2022wl037,2022wl036,2021/11/11,1
20182381,2022wl006,2022wl023,2022wl054,2022wl061,2021/11/11,1
20182382,2022wl016,2022wl003,2022wl051,2022wl040,2021/11/11,1
20182383,2022wl002,2022wl001,2022wl011,2022wl004,2021/11/11,1
